1. Podsumowanie;;;;;;
Tytu³ spotkania;Nazwa przedmiotu - lab 3;;;;;
Liczba uczestnicz¹cych;7;;;;;
Godzina rozpoczêcia;3/10/25, 8:00:48 AM;;;;;
Godzina zakoñczenia;3/10/25, 10:20:08 AM;;;;;
Czas trwania spotkania;2 godz. 19 min 19 s;;;;;
Œredni czas uczestnictwa;2 godz. 12 min 55 s;;;;;
;;;;;;
2. Uczestnicy;;;;;;
Imiê i nazwisko;Pierwsze do³¹czenie;Ostatnie wyjœcie;Czas udzia³u w spotkaniu;Adres e-mail;Identyfikator uczestnika (UPN);Rola
uczestnik jakis 1;3/10/25, 8:02:00 AM;3/10/25, 10:20:08 AM;2 godz. 18 min 8 s;EMAIL;ID@uczelnia.pl;Organizator
uczestnik jakis 2;3/10/25, 8:00:50 AM;3/10/25, 10:16:04 AM;2 godz. 15 min 14 s;EMAIL;ID@uczelnia.pl;Osoba prowadz¹ca
uczestnik jakis 3;3/10/25, 8:01:03 AM;3/10/25, 10:16:06 AM;2 godz. 15 min 2 s;EMAIL;ID@uczelnia.pl;Osoba prowadz¹ca
uczestnik jakis 4;3/10/25, 8:01:24 AM;3/10/25, 9:58:41 AM;1 godz. 57 min 16 s;EMAIL;ID@uczelnia.pl;Osoba prowadz¹ca
uczestnik jakis 5;3/10/25, 8:02:18 AM;3/10/25, 10:16:06 AM;2 godz. 13 min 48 s;EMAIL;ID@uczelnia.pl;Osoba prowadz¹ca
uczestnik jakis 6;3/10/25, 8:02:24 AM;3/10/25, 10:20:07 AM;2 godz. 17 min 42 s;EMAIL;ID@uczelnia.pl;Osoba prowadz¹ca
uczestnik jakis 7;3/10/25, 8:02:41 AM;3/10/25, 10:16:00 AM;2 godz. 13 min 18 s;EMAIL;ID@uczelnia.pl;Osoba prowadz¹ca
;;;;;;
3. Dzia³ania podczas spotkania;;;;;;
Imiê i nazwisko;Godzina do³¹czenia;Godzina opuszczenia;Czas trwania;Adres e-mail;Rola;
uczestnik jakis1;3/10/25, 8:02:00 AM;3/10/25, 10:20:08 AM;2 godz. 18 min 8 s;EMAIL;Organizator;
uczestnik jakis2;3/10/25, 8:00:50 AM;3/10/25, 10:16:04 AM;2 godz. 15 min 14 s;EMAIL;Osoba prowadz¹ca;
uczestnik jakis3;3/10/25, 8:01:03 AM;3/10/25, 10:16:06 AM;2 godz. 15 min 2 s;EMAIL;Osoba prowadz¹ca;
uczestnik jakis4;3/10/25, 8:01:24 AM;3/10/25, 9:58:41 AM;1 godz. 57 min 16 s;EMAIL;Osoba prowadz¹ca;
uczestnik jakis5;3/10/25, 8:02:18 AM;3/10/25, 10:16:06 AM;2 godz. 13 min 48 s;EMAIL;Osoba prowadz¹ca;
uczestnik jakis6;3/10/25, 8:02:24 AM;3/10/25, 10:20:07 AM;2 godz. 17 min 42 s;EMAIL;Osoba prowadz¹ca;
uczestnik jakis7;3/10/25, 8:02:41 AM;3/10/25, 10:16:00 AM;2 godz. 13 min 18 s;EMAIL;Osoba prowadz¹ca;
